OccupationalGrade,OccupationalCode,OccupationalTitle,EstimatedEmployment2008,ProjectedEmployment2018,NetChange20082018,PercentChange20082018,MeanAnnualWages2008,EntryAnnualWages2008,ExperiencedAnnualWages2008,20082018OpeningsGrowth,20082018OpeningsReplacement,20082018OpeningsTotal,AnnualOpeningsGrowth,AnnualOpeningsReplacement,AnnualOpeningsTotal,EducationTrainingRequired,WIARegion
B,53-6051,Transportation Inspectors,20,20,2,10.53%,$55540.00,$27920.00,$69350.00,2,4,6,0,0,0,Work experience in a related occupation,Southeast
C,53-6051,Transportation Inspectors,70,80,4,5.63%,$55540.00,$27920.00,$69350.00,$4,$17,21,$0,$2,2,Work experience in a related occupation,Central
C,53-6051,Transportation Inspectors,10,10,1,7.69%,$55540.00,$27920.00,$69350.00,1,3,4,0,0,0,Work experience in a related occupation,Northeast
C,53-6051,Transportation Inspectors,160,170,9,5.59%,$55540.00,$27920.00,$69350.00,9,38,47,1,4,5,Work experience in a related occupation,St. Louis Metro
B,53-6051,Transportation Inspectors,35,40,5,14.29%,$55540.00,$27920.00,$69350.00,5,8,13,1,1,2,Work experience in a related occupation,Ozark
B,53-6051,Transportation Inspectors,10,10,2,18.18%,$55540.00,$27920.00,$69350.00,2,3,5,0,0,0,Work experience in a related occupation,Southwest
B,53-6051,Transportation Inspectors,10,10,2,16.67%,$55540.00,$27920.00,$69350.00,2,3,5,0,0,0,Work experience in a related occupation,Northwest
F+,53-6041,Traffic Technicians,10,0,-1,-20%,$38630.00,$30490.00,$42700.00,0,2,2,0,0,0,Short-term on-the-job training,West Central
F+,53-6041,Traffic Technicians,10,10,0,0%,$38630.00,$30490.00,$42700.00,0,2,2,0,0,0,Short-term on-the-job training,Northwest
F+,53-6041,Traffic Technicians,20,20,0,0%,$38630.00,$30490.00,$42700.00,0,8,8,0,1,1,Short-term on-the-job training,Central
F+,53-6041,Traffic Technicians,20,20,0,0%,$38630.00,$30490.00,$42700.00,0,7,7,0,1,1,Short-term on-the-job training,St. Louis Metro
F+,53-6041,Traffic Technicians,0,0,0,0%,$38630.00,$30490.00,$42700.00,0,1,1,0,0,0,Short-term on-the-job training,South Central
B-,53-6041,Traffic Technicians,4,5,1,25%,$38630.00,$30490.00,$42700.00,1,1,2,0,0,0,Short-term on-the-job training,Ozark
F+,53-6041,Traffic Technicians,0,0,0,0%,$38630.00,$30490.00,$42700.00,0,1,1,0,0,0,Short-term on-the-job training,Northeast
F+,53-6041,Traffic Technicians,0,0,0,0%,$38630.00,$30490.00,$42700.00,0,1,1,0,0,0,Short-term on-the-job training,Southwest
F+,53-6041,Traffic Technicians,10,10,0,0%,$38630.00,$30490.00,$42700.00,0,4,4,0,0,0,Short-term on-the-job training,Kansas City Metro
F+,53-6041,Traffic Technicians,10,10,0,0%,$38630.00,$30490.00,$42700.00,0,2,2,0,0,0,Short-term on-the-job training,Southeast
F,53-6031,Service Station Attendants,20,20,-1,-4.35%,$19760.00,$15140.00,$22070.00,0,10,10,0,1,1,Short-term on-the-job training,South Central
F,53-6031,Service Station Attendants,59,59,0,0%,$19760.00,$15140.00,$22070.00,0,25,25,0,3,3,Short-term on-the-job training,Ozark
F+,53-6031,Service Station Attendants,30,30,-2,-6.06%,$19760.00,$15140.00,$22070.00,0,14,14,0,1,1,Short-term on-the-job training,Northeast
F,53-6031,Service Station Attendants,210,210,-2,-0.94%,$19760.00,$15140.00,$22070.00,0,88,88,0,9,9,Short-term on-the-job training,St. Louis Metro
F,53-6031,Service Station Attendants,30,30,-1,-3.13%,$19760.00,$15140.00,$22070.00,0,13,13,0,1,1,Short-term on-the-job training,Northwest
F,53-6031,Service Station Attendants,90,80,-2,-2.33%,$19760.00,$15140.00,$22070.00,0,36,36,0,4,4,Short-term on-the-job training,Central
F,53-6031,Service Station Attendants,120,120,-4,-3.23%,$19760.00,$15140.00,$22070.00,0,52,52,0,5,5,Short-term on-the-job training,Kansas City Metro
F+,53-6031,Service Station Attendants,50,50,0,0%,$19760.00,$15140.00,$22070.00,0,19,19,0,2,2,Short-term on-the-job training,Southeast
F+,53-6031,Service Station Attendants,30,30,-1,-3.33%,$19760.00,$15140.00,$22070.00,0,12,12,0,1,1,Short-term on-the-job training,West Central
F,53-6031,Service Station Attendants,30,30,-2,-6.06%,$19760.00,$15140.00,$22070.00,0,14,14,0,1,1,Short-term on-the-job training,Southwest
F+,53-6021,Parking Lot Attendants,400,370,-27,-6.77%,$19700.00,$15620.00,$21740.00,0,144,144,0,14,14,Short-term on-the-job training,Kansas City Metro
F+,53-6021,Parking Lot Attendants,810,800,-14,-1.72%,$19700.00,$15620.00,$21740.00,0,292,292,0,29,29,Short-term on-the-job training,St. Louis Metro
F+,53-6021,Parking Lot Attendants,60,60,-1,-1.64%,$19700.00,$15620.00,$21740.00,0,22,22,0,2,2,Short-term on-the-job training,Southeast
F+,53-6021,Parking Lot Attendants,160,160,1,0.63%,$19700.00,$15620.00,$21740.00,1,57,58,0,6,6,Short-term on-the-job training,Central
F+,53-6021,Parking Lot Attendants,169,165,-4,-2.37%,$19700.00,$15620.00,$21740.00,0,61,61,0,6,6,Short-term on-the-job training,Ozark
D+,53-6021,Parking Lot Attendants,50,50,1,2.13%,$19700.00,$15620.00,$21740.00,1,17,18,0,2,2,Short-term on-the-job training,Southwest
F,53-6021,Parking Lot Attendants,20,20,-2,-9.52%,$19700.00,$15620.00,$21740.00,0,8,8,0,1,1,Short-term on-the-job training,South Central
F+,53-6021,Parking Lot Attendants,50,40,-3,-6.52%,$19700.00,$15620.00,$21740.00,0,17,17,0,2,2,Short-term on-the-job training,Northwest
F+,53-6021,Parking Lot Attendants,40,40,-1,-2.78%,$19700.00,$15620.00,$21740.00,0,13,13,0,1,1,Short-term on-the-job training,Northeast
F+,53-6021,Parking Lot Attendants,40,40,-5,-11.63%,$19700.00,$15620.00,$21740.00,0,15,15,0,2,2,Short-term on-the-job training,West Central
D-,53-6011,Bridge and Lock Tenders,10,10,0,0%,$51100.00,$44350.00,$54470.00,0,4,4,0,0,0,Short-term on-the-job training,St. Louis Metro
D-,53-6011,Bridge and Lock Tenders,20,10,-2,-12.5%,$51100.00,$44350.00,$54470.00,0,6,6,0,1,1,Short-term on-the-job training,Kansas City Metro
D-,53-6011,Bridge and Lock Tenders,10,10,0,0%,$51100.00,$44350.00,$54470.00,0,3,3,0,0,0,Short-term on-the-job training,Central
C,53-6011,Bridge and Lock Tenders,0,0,0,0%,$51100.00,$44350.00,$54470.00,0,0,0,0,0,0,Short-term on-the-job training,West Central
D-,53-6011,Bridge and Lock Tenders,2,2,0,0%,$51100.00,$44350.00,$54470.00,0,1,1,0,0,0,Short-term on-the-job training,Ozark
D-,53-5031,Ship Engineers,ND,ND,3,ND,ND,ND,ND,3,12,15,0,1,1,Work experience in a related occupation,St. Louis Metro
C-,53-5031,Ship Engineers,ND,ND,8,ND,ND,ND,ND,8,31,39,1,3,4,Work experience in a related occupation,Southeast
F,53-5022,Motorboat Operators,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Northeast
F,53-5022,Motorboat Operators,ND,ND,0,ND,ND,ND,ND,0,4,4,0,0,0,Moderate-term on-the-job training,Ozark
B,53-5021,"Captains, Mates, and Pilots of Water Vessels",10,10,2,40%,$61480.00,$37540.00,$73450.00,2,2,4,0,0,0,Work experience in a related occupation,Northeast
B,53-5021,"Captains, Mates, and Pilots of Water Vessels",10,10,1,11.11%,$61480.00,$37540.00,$73450.00,1,4,5,0,0,0,Work experience in a related occupation,Central
B-,53-5021,"Captains, Mates, and Pilots of Water Vessels",ND,ND,1,ND,$61480.00,$37540.00,$73450.00,1,6,7,0,1,1,Work experience in a related occupation,Ozark
B-,53-5021,"Captains, Mates, and Pilots of Water Vessels",0,0,0,0%,$61480.00,$37540.00,$73450.00,0,1,1,0,0,0,Work experience in a related occupation,West Central
B,53-5021,"Captains, Mates, and Pilots of Water Vessels",90,100,7,7.45%,$61480.00,$37540.00,$73450.00,7,39,46,1,4,5,Work experience in a related occupation,St. Louis Metro
D-,53-5021,"Captains, Mates, and Pilots of Water Vessels",30,30,0,0%,$61480.00,$37540.00,$73450.00,0,12,12,0,1,1,Work experience in a related occupation,Kansas City Metro
B,53-5021,"Captains, Mates, and Pilots of Water Vessels",0,0,1,33.33%,$61480.00,$37540.00,$73450.00,1,1,2,0,0,0,Work experience in a related occupation,Southwest
B+,53-5021,"Captains, Mates, and Pilots of Water Vessels",160,170,13,8.13%,$61480.00,$37540.00,$73450.00,13,67,80,1,7,8,Work experience in a related occupation,Southeast
D,53-5021,"Captains, Mates, and Pilots of Water Vessels",0,0,0,0%,$61480.00,$37540.00,$73450.00,0,1,1,0,0,0,Work experience in a related occupation,South Central
F,53-5011,Sailors and Marine Oilers,ND,ND,0,ND,$30490.00,$25760.00,$32860.00,0,3,3,0,0,0,Short-term on-the-job training,Central
F,53-5011,Sailors and Marine Oilers,30,20,-1,-4%,$30490.00,$25760.00,$32860.00,0,11,11,0,1,1,Short-term on-the-job training,Kansas City Metro
F+,53-5011,Sailors and Marine Oilers,ND,ND,0,ND,$30490.00,$25760.00,$32860.00,0,0,0,0,0,0,Short-term on-the-job training,West Central
F+,53-5011,Sailors and Marine Oilers,110,120,7,6.19%,$30490.00,$25760.00,$32860.00,7,48,55,1,5,6,Short-term on-the-job training,St. Louis Metro
D,53-5011,Sailors and Marine Oilers,0,10,2,66.67%,$30490.00,$25760.00,$32860.00,2,1,3,0,0,0,Short-term on-the-job training,Northeast
F,53-5011,Sailors and Marine Oilers,ND,ND,0,ND,$30490.00,$25760.00,$32860.00,0,1,1,0,0,0,Short-term on-the-job training,Southwest
B+,53-5011,Sailors and Marine Oilers,240,260,19,8.02%,$30490.00,$25760.00,$32860.00,19,101,120,2,10,12,Short-term on-the-job training,Southeast
F,53-5011,Sailors and Marine Oilers,17,17,0,0%,$30490.00,$25760.00,$32860.00,0,7,7,0,1,1,Short-term on-the-job training,Ozark
F,53-4099,"Rail Transportation Workers, All Other",ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,Ozark
F,53-4099,"Rail Transportation Workers, All Other",ND,ND,0,ND,ND,ND,ND,0,2,2,0,0,0,Moderate-term on-the-job training,Kansas City Metro
F,53-4099,"Rail Transportation Workers, All Other",ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Northeast
B+,53-4031,Railroad Conductors and Yardmasters,ND,ND,9,ND,ND,ND,ND,9,46,55,1,5,6,Moderate-term on-the-job training,Ozark
B+,53-4031,Railroad Conductors and Yardmasters,ND,ND,3,ND,ND,ND,ND,3,15,18,0,2,2,Moderate-term on-the-job training,Northeast
C,53-4031,Railroad Conductors and Yardmasters,ND,ND,1,ND,ND,ND,ND,$1,$5,6,$0,$1,1,Moderate-term on-the-job training,Central
C,53-4031,Railroad Conductors and Yardmasters,ND,ND,15,ND,ND,ND,ND,15,82,97,2,8,10,Moderate-term on-the-job training,St. Louis Metro
D-,53-4031,Railroad Conductors and Yardmasters,ND,ND,0,ND,ND,ND,ND,0,3,3,0,0,0,Moderate-term on-the-job training,Southeast
B+,53-4031,Railroad Conductors and Yardmasters,ND,ND,19,ND,ND,ND,ND,19,108,127,2,11,13,Moderate-term on-the-job training,Kansas City Metro
D-,53-4031,Railroad Conductors and Yardmasters,ND,ND,0,ND,ND,ND,ND,0,3,3,0,0,0,Moderate-term on-the-job training,Southwest
C,53-4031,Railroad Conductors and Yardmasters,ND,ND,2,ND,ND,ND,ND,2,8,10,0,1,1,Moderate-term on-the-job training,South Central
D-,53-4031,Railroad Conductors and Yardmasters,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,Northwest
C,53-4031,Railroad Conductors and Yardmasters,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,West Central
B,53-4021,"Railroad Brake, Signal, and Switch Operators",270,290,20,7.55%,$53710.00,$33980.00,$63580.00,20,86,106,2,9,11,Moderate-term on-the-job training,St. Louis Metro
B+,53-4021,"Railroad Brake, Signal, and Switch Operators",144,156,12,8.33%,$53710.00,$33980.00,$63580.00,12,47,59,1,5,6,Moderate-term on-the-job training,Ozark
B+,53-4021,"Railroad Brake, Signal, and Switch Operators",340,370,27,7.94%,$53710.00,$33980.00,$63580.00,27,110,137,3,11,14,Moderate-term on-the-job training,Kansas City Metro
C,53-4021,"Railroad Brake, Signal, and Switch Operators",0,0,0,0%,$53710.00,$33980.00,$63580.00,0,1,1,0,0,0,Moderate-term on-the-job training,West Central
C,53-4021,"Railroad Brake, Signal, and Switch Operators",30,30,2,8%,$53710.00,$33980.00,$63580.00,2,8,10,0,1,1,Moderate-term on-the-job training,South Central
B,53-4021,"Railroad Brake, Signal, and Switch Operators",10,10,2,16.67%,$53710.00,$33980.00,$63580.00,2,4,6,0,0,0,Moderate-term on-the-job training,Southeast
B,53-4021,"Railroad Brake, Signal, and Switch Operators",20,20,2,11.76%,$53710.00,$33980.00,$63580.00,$2,$6,8,$0,$1,1,Moderate-term on-the-job training,Central
B+,53-4021,"Railroad Brake, Signal, and Switch Operators",50,50,4,8.33%,$53710.00,$33980.00,$63580.00,4,16,20,0,2,2,Moderate-term on-the-job training,Northeast
B,53-4021,"Railroad Brake, Signal, and Switch Operators",10,10,1,11.11%,$53710.00,$33980.00,$63580.00,1,3,4,0,0,0,Moderate-term on-the-job training,Southwest
D-,53-4021,"Railroad Brake, Signal, and Switch Operators",10,0,-1,-20%,$53710.00,$33980.00,$63580.00,0,2,2,0,0,0,Moderate-term on-the-job training,Northwest
F+,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0,0,0,0%,$41940.00,$31190.00,$47320.00,0,1,1,0,0,0,Moderate-term on-the-job training,Northeast
F+,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",10,10,0,0%,$41940.00,$31190.00,$47320.00,0,4,4,0,0,0,Moderate-term on-the-job training,Kansas City Metro
F+,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",10,10,0,0%,$41940.00,$31190.00,$47320.00,0,4,4,0,0,0,Moderate-term on-the-job training,St. Louis Metro
D+,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0,0,0,0%,$41940.00,$31190.00,$47320.00,0,0,0,0,0,0,Moderate-term on-the-job training,West Central
F+,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0,0,0,0%,$41940.00,$31190.00,$47320.00,0,0,0,0,0,0,Moderate-term on-the-job training,Southwest
B-,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",4,5,1,25%,$41940.00,$31190.00,$47320.00,1,1,2,0,0,0,Moderate-term on-the-job training,Ozark
F+,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0,0,0,0%,$41940.00,$31190.00,$47320.00,0,0,0,0,0,0,Moderate-term on-the-job training,Southeast
F+,53-4012,Locomotive Firers,ND,ND,1,ND,ND,ND,ND,1,6,7,0,1,1,Moderate-term on-the-job training,Kansas City Metro
F,53-4012,Locomotive Firers,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,Northeast
F+,53-4012,Locomotive Firers,ND,ND,1,ND,ND,ND,ND,1,3,4,0,0,0,Moderate-term on-the-job training,Ozark
F,53-4012,Locomotive Firers,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Southeast
D-,53-4012,Locomotive Firers,ND,ND,1,ND,ND,ND,ND,1,5,6,0,1,1,Moderate-term on-the-job training,St. Louis Metro
D-,53-4011,Locomotive Engineers,ND,ND,0,ND,ND,ND,ND,0,2,2,0,0,0,Moderate-term on-the-job training,Northwest
B+,53-4011,Locomotive Engineers,ND,ND,2,ND,ND,ND,ND,2,9,11,0,1,1,Moderate-term on-the-job training,South Central
B+,53-4011,Locomotive Engineers,ND,ND,5,ND,ND,ND,ND,5,18,23,1,2,3,Moderate-term on-the-job training,Northeast
B,53-4011,Locomotive Engineers,ND,ND,2,ND,ND,ND,ND,2,7,9,0,1,1,Moderate-term on-the-job training,Central
B,53-4011,Locomotive Engineers,ND,ND,1,ND,ND,ND,ND,1,3,4,0,0,0,Moderate-term on-the-job training,Southwest
C,53-4011,Locomotive Engineers,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,West Central
B,53-4011,Locomotive Engineers,ND,ND,2,ND,ND,ND,ND,2,4,6,0,0,0,Moderate-term on-the-job training,Southeast
B+,53-4011,Locomotive Engineers,ND,ND,15,ND,ND,ND,ND,15,52,67,2,5,7,Moderate-term on-the-job training,Ozark
B,53-4011,Locomotive Engineers,ND,ND,26,ND,ND,ND,ND,26,94,120,3,9,12,Moderate-term on-the-job training,St. Louis Metro
A-,53-4011,Locomotive Engineers,ND,ND,34,ND,ND,ND,ND,34,119,153,3,12,15,Moderate-term on-the-job training,Kansas City Metro
F+,53-3099,"Motor Vehicle Operators, All Other",ND,ND,6,ND,$19490.00,$14940.00,$21770.00,6,34,40,1,3,4,Short-term on-the-job training,Ozark
F,53-3099,"Motor Vehicle Operators, All Other",ND,ND,-1,ND,$19490.00,$14940.00,$21770.00,0,10,10,0,1,1,Short-term on-the-job training,Northwest
F+,53-3099,"Motor Vehicle Operators, All Other",ND,ND,-18,ND,$19490.00,$14940.00,$21770.00,0,88,88,0,9,9,Short-term on-the-job training,Kansas City Metro
F+,53-3099,"Motor Vehicle Operators, All Other",ND,ND,2,ND,$19490.00,$14940.00,$21770.00,2,9,11,0,1,1,Short-term on-the-job training,Northeast
F+,53-3099,"Motor Vehicle Operators, All Other",ND,ND,-4,ND,$19490.00,$14940.00,$21770.00,0,160,160,0,16,16,Short-term on-the-job training,St. Louis Metro
C,53-3099,"Motor Vehicle Operators, All Other",80,90,10,12.2%,$19490.00,$14940.00,$21770.00,10,14,24,1,1,2,Short-term on-the-job training,Southwest
F,53-3099,"Motor Vehicle Operators, All Other",ND,ND,0,ND,$19490.00,$14940.00,$21770.00,0,31,31,0,3,3,Short-term on-the-job training,Central
D+,53-3099,"Motor Vehicle Operators, All Other",ND,ND,6,ND,$19490.00,$14940.00,$21770.00,6,18,24,1,2,3,Short-term on-the-job training,Southeast
D+,53-3099,"Motor Vehicle Operators, All Other",ND,ND,2,ND,$19490.00,$14940.00,$21770.00,2,11,13,0,1,1,Short-term on-the-job training,West Central
F+,53-3099,"Motor Vehicle Operators, All Other",ND,ND,2,ND,$19490.00,$14940.00,$21770.00,2,8,10,0,1,1,Short-term on-the-job training,South Central
C,53-3041,Taxi Drivers and Chauffeurs,1510,1650,140,9.29%,$22090.00,$16500.00,$24890.00,140,267,407,14,27,41,Short-term on-the-job training,St. Louis Metro
C,53-3041,Taxi Drivers and Chauffeurs,160,180,16,9.76%,$22090.00,$16500.00,$24890.00,16,29,45,2,3,5,Short-term on-the-job training,Southwest
D+,53-3041,Taxi Drivers and Chauffeurs,500,530,39,7.88%,$22090.00,$16500.00,$24890.00,$39,$88,127,$4,$9,13,Short-term on-the-job training,Central
D+,53-3041,Taxi Drivers and Chauffeurs,120,130,9,7.38%,$22090.00,$16500.00,$24890.00,9,22,31,1,2,3,Short-term on-the-job training,South Central
D+,53-3041,Taxi Drivers and Chauffeurs,220,220,3,1.38%,$22090.00,$16500.00,$24890.00,3,38,41,0,4,4,Short-term on-the-job training,Northwest
D+,53-3041,Taxi Drivers and Chauffeurs,359,395,36,10.03%,$22090.00,$16500.00,$24890.00,36,64,100,4,6,10,Short-term on-the-job training,Ozark
D+,53-3041,Taxi Drivers and Chauffeurs,140,150,10,7.19%,$22090.00,$16500.00,$24890.00,10,25,35,1,3,4,Short-term on-the-job training,Northeast
C,53-3041,Taxi Drivers and Chauffeurs,190,210,19,10.16%,$22090.00,$16500.00,$24890.00,19,33,52,2,3,5,Short-term on-the-job training,West Central
D+,53-3041,Taxi Drivers and Chauffeurs,1020,1070,47,4.59%,$22090.00,$16500.00,$24890.00,47,181,228,5,18,23,Short-term on-the-job training,Kansas City Metro
C,53-3041,Taxi Drivers and Chauffeurs,250,270,22,8.91%,$22090.00,$16500.00,$24890.00,22,44,66,2,4,6,Short-term on-the-job training,Southeast
B-,53-3033,"Truck Drivers, Light or Delivery Services",770,800,22,2.85%,$29320.00,$18750.00,$34610.00,22,138,160,2,14,16,Short-term on-the-job training,Southwest
C,53-3033,"Truck Drivers, Light or Delivery Services",590,610,20,3.41%,$29320.00,$18750.00,$34610.00,20,105,125,2,11,13,Short-term on-the-job training,Northwest
C,53-3033,"Truck Drivers, Light or Delivery Services",450,470,14,3.09%,$29320.00,$18750.00,$34610.00,14,81,95,1,8,9,Short-term on-the-job training,Northeast
D,53-3033,"Truck Drivers, Light or Delivery Services",7080,7000,-79,-1.12%,$29320.00,$18750.00,$34610.00,0,1267,1267,0,127,127,Short-term on-the-job training,St. Louis Metro
D-,53-3033,"Truck Drivers, Light or Delivery Services",320,330,4,1.23%,$29320.00,$18750.00,$34610.00,4,58,62,0,6,6,Short-term on-the-job training,South Central
D-,53-3033,"Truck Drivers, Light or Delivery Services",1480,1530,50,3.38%,$29320.00,$18750.00,$34610.00,50,265,315,5,27,32,Short-term on-the-job training,Ozark
C,53-3033,"Truck Drivers, Light or Delivery Services",1470,1520,46,3.13%,$29320.00,$18750.00,$34610.00,46,263,309,5,26,31,Short-term on-the-job training,Central
C,53-3033,"Truck Drivers, Light or Delivery Services",870,890,29,3.35%,$29320.00,$18750.00,$34610.00,29,155,184,3,16,19,Short-term on-the-job training,Southeast
D-,53-3033,"Truck Drivers, Light or Delivery Services",3000,3030,28,0.93%,$29320.00,$18750.00,$34610.00,28,537,565,3,54,57,Short-term on-the-job training,Kansas City Metro
C,53-3033,"Truck Drivers, Light or Delivery Services",470,500,22,4.64%,$29320.00,$18750.00,$34610.00,22,85,107,2,9,11,Short-term on-the-job training,West Central
B+,53-3032,"Truck Drivers, Heavy and Tractor-Trailer",3630,3860,227,6.25%,$38110.00,$24620.00,$44850.00,227,650,877,23,65,88,Moderate-term on-the-job training,Southeast
B+,53-3032,"Truck Drivers, Heavy and Tractor-Trailer",1230,1350,119,9.71%,$38110.00,$24620.00,$44850.00,119,219,338,12,22,34,Moderate-term on-the-job training,South Central
B+,53-3032,"Truck Drivers, Heavy and Tractor-Trailer",3470,3670,200,5.76%,$38110.00,$24620.00,$44850.00,200,622,822,20,62,82,Moderate-term on-the-job training,Central
A-,53-3032,"Truck Drivers, Heavy and Tractor-Trailer",1980,2190,215,10.88%,$38110.00,$24620.00,$44850.00,215,354,569,22,35,57,Moderate-term on-the-job training,Northeast
